,AGE,ATTRITION,BUSINESSTRAVEL,DAILYRATE,DEPARTMENT,DISTANCEFROMHOME,EDUCATION,EDUCATIONFIELD,EMPLOYEENUMBER,ENVIRONMENTSATISFACTION,GENDER,HOURLYRATE,JOBINVOLVEMENT,JOBLEVEL,JOBROLE,JOBSATISFACTION,MARITALSTATUS,MONTHLYINCOME,MONTHLYRATE,NUMCOMPANIESWORKED,OVERTIME,PERCENTSALARYHIKE,PERFORMANCERATING,RELATIONSHIPSATISFACTION,STOCKOPTIONLEVEL,TOTALWORKINGYEARS,TRAININGTIMESLASTYEAR,WORKLIFEBALANCE,YEARSATCOMPANY,YEARSSINCELASTPROMOTION,YEARSWITHCURRMANAGER,REMOTEWORK
0,51.0,0,,684.0,,6,3,,162.0,1,male,51.0,3,5,research director,3,,19537.0,6462,7,0.0,13,3.0,3,0,,5,3.0,20,15,15,1
1,52.0,0,,699.0,,1,4,life sciences,259.0,3,male,65.0,2,5,manager,3,,19999.0,5678,0,,14,3.0,1,1,34.0,5,3.0,33,11,9,1
2,42.0,0,travel rarely,532.0,research & development,4,2,technical degree,319.0,3,male,58.0,3,5,manager,4,married,19232.0,4933,1,0.0,11,3.0,4,0,22.0,3,,22,11,15,1
3,47.0,0,travel rarely,359.0,,2,4,medical,,1,female,82.0,3,4,research director,3,married,17169.0,26703,3,,19,3.0,2,2,,2,,20,5,6,0
4,46.0,0,,1319.0,,3,3,technical degree,,1,female,45.0,4,4,sales executive,1,divorced,,7739,2,0.0,12,3.0,4,1,,5,3.0,19,2,8,0
5,48.0,0,,117.0,research & development,22,3,medical,1900.0,4,female,58.0,3,4,manager,4,,17174.0,2437,3,0.0,11,3.0,2,1,,3,3.0,22,4,7,1
6,59.0,0,,1435.0,,25,3,life sciences,81.0,1,female,99.0,3,3,sales executive,1,,,2354,7,,11,3.0,4,0,28.0,3,2.0,21,7,9,0
7,42.0,0,travel rarely,635.0,,1,1,,387.0,2,male,99.0,3,2,sales executive,3,married,,24532,1,0.0,25,4.0,3,0,20.0,3,3.0,20,11,6,0
8,41.0,0,,1276.0,,2,5,,,2,female,91.0,3,4,manager,1,married,16595.0,5626,7,0.0,16,3.0,2,1,22.0,2,3.0,18,11,8,0
9,41.0,0,travel frequently,840.0,,9,3,,999.0,1,male,64.0,3,5,research director,3,,,3735,2,0.0,17,3.0,2,1,21.0,2,4.0,18,0,11,0
10,41.0,0,non-travel,247.0,,7,1,,1035.0,2,female,55.0,1,5,research director,3,,19973.0,20284,1,0.0,22,4.0,2,2,,3,3.0,21,5,10,0
11,56.0,0,travel rarely,1369.0,,23,3,life sciences,,4,male,68.0,3,4,manufacturing director,2,married,13402.0,18235,4,1.0,12,,1,1,33.0,0,3.0,19,15,9,0
12,38.0,0,,201.0,,10,3,medical,,2,female,99.0,1,3,research director,3,married,13206.0,3376,3,0.0,12,3.0,1,1,,3,3.0,18,1,11,1
13,41.0,1,travel rarely,1360.0,,12,3,,58.0,2,female,49.0,3,5,research director,3,married,19545.0,16280,1,0.0,12,3.0,4,0,,0,3.0,22,15,8,0
14,55.0,0,,692.0,,14,4,medical,,3,male,61.0,4,5,research director,2,single,,13339,8,0.0,11,3.0,4,0,,3,3.0,24,2,15,0
15,40.0,0,travel rarely,1398.0,,2,4,,558.0,3,female,79.0,3,5,manager,3,,18041.0,13022,0,0.0,14,3.0,4,0,,2,3.0,20,1,12,0
16,58.0,1,travel rarely,286.0,,2,4,,825.0,4,male,31.0,3,5,research director,2,single,19246.0,25761,7,1.0,12,3.0,4,0,40.0,2,3.0,31,13,8,0
17,46.0,0,travel rarely,1402.0,,2,3,,,3,female,69.0,3,4,manager,1,,,24097,8,,23,4.0,1,0,28.0,2,3.0,26,15,9,0
18,35.0,0,,819.0,,13,5,life sciences,,2,male,48.0,4,2,research scientist,1,married,,26312,1,,11,3.0,4,0,,2,3.0,16,1,10,0
19,40.0,0,travel rarely,884.0,,15,3,life sciences,,1,female,80.0,2,3,manufacturing director,3,,,25800,1,,13,3.0,4,2,18.0,2,,18,14,12,0
20,45.0,0,non-travel,1238.0,research & development,1,1,,1712.0,3,male,74.0,2,3,healthcare representative,3,,10748.0,3395,3,,23,4.0,4,1,25.0,3,2.0,23,14,4,0
21,33.0,0,,515.0,,1,2,life sciences,73.0,1,female,98.0,3,3,research director,4,single,,15146,1,1.0,12,3.0,3,0,15.0,1,3.0,15,8,12,0
22,36.0,0,,1223.0,,8,3,,,3,female,59.0,3,3,healthcare representative,3,divorced,,8202,1,,13,,2,3,17.0,2,3.0,17,12,8,1
23,47.0,0,,202.0,,2,2,other,820.0,3,female,33.0,3,4,manager,4,married,16752.0,12982,1,,11,3.0,3,1,,3,2.0,26,3,0,0
24,36.0,0,travel rarely,928.0,,42,2,life sciences,,4,male,56.0,3,2,sales executive,4,,6201.0,2823,1,,14,3.0,4,1,18.0,1,,18,4,11,0
25,35.0,0,,607.0,,9,3,life sciences,,4,female,66.0,2,3,manufacturing director,3,married,,23457,1,1.0,20,4.0,2,1,17.0,2,3.0,17,5,15,0
26,52.0,1,,266.0,,2,1,,,1,female,57.0,1,5,manager,4,married,19845.0,25846,1,0.0,15,3.0,4,1,33.0,3,3.0,32,6,9,1
27,36.0,0,,429.0,,2,4,life sciences,1294.0,3,female,53.0,3,2,manufacturing director,2,single,,2323,9,1.0,11,3.0,4,0,18.0,2,3.0,16,5,12,0
28,33.0,0,travel rarely,589.0,,28,4,life sciences,,2,male,79.0,3,2,laboratory technician,3,married,,22949,1,,12,3.0,2,1,15.0,3,3.0,15,5,7,1
29,34.0,0,non-travel,,sales,10,3,life sciences,1774.0,4,male,87.0,3,2,sales executive,3,,4001.0,12313,1,1.0,14,3.0,3,1,15.0,3,3.0,15,0,7,1
30,41.0,0,,,sales,37,1,,1815.0,3,female,81.0,3,3,sales executive,3,divorced,10447.0,26458,0,,13,3.0,4,1,,3,4.0,22,13,5,1
31,47.0,0,,1180.0,research & development,25,3,medical,1993.0,1,male,84.0,3,3,healthcare representative,3,,,13084,2,,23,4.0,2,0,25.0,3,3.0,17,12,11,1
32,53.0,0,travel rarely,1282.0,,5,3,,32.0,3,female,58.0,3,5,manager,3,,,10735,4,,11,3.0,4,1,26.0,3,2.0,14,4,8,1
33,35.0,0,,776.0,,1,4,marketing,100.0,3,male,32.0,2,2,sales executive,1,single,,23016,0,0.0,14,,2,0,16.0,2,3.0,15,2,8,0
34,34.0,0,travel rarely,665.0,,6,4,other,,1,female,41.0,3,2,research scientist,3,single,,12482,1,,14,3.0,3,0,16.0,3,3.0,16,2,10,0
35,46.0,0,travel rarely,526.0,,1,2,,244.0,2,female,92.0,3,3,sales executive,1,divorced,,2137,1,0.0,25,4.0,3,3,24.0,2,3.0,24,15,7,1
36,43.0,0,,1034.0,,16,3,,327.0,4,female,80.0,3,4,manager,4,married,16064.0,7744,5,,22,4.0,3,1,22.0,3,3.0,17,1,9,1
37,36.0,0,,1403.0,research & development,6,3,life sciences,373.0,4,male,47.0,3,1,laboratory technician,4,married,3210.0,20251,0,,11,3.0,3,1,16.0,4,3.0,15,10,11,0
38,60.0,0,travel frequently,1499.0,,28,3,,,3,female,80.0,2,3,sales executive,1,married,10266.0,2845,4,0.0,19,3.0,4,0,22.0,5,4.0,18,13,11,1
39,40.0,0,travel frequently,580.0,,5,4,,729.0,4,male,48.0,2,3,sales executive,1,married,10475.0,23772,5,1.0,21,4.0,3,1,20.0,2,3.0,18,1,12,0
40,32.0,0,travel rarely,859.0,,4,3,,830.0,3,female,98.0,2,2,manufacturing director,3,married,6162.0,19124,1,0.0,12,3.0,3,1,14.0,3,3.0,14,6,8,0
41,41.0,0,travel rarely,263.0,,35,3,,,3,male,59.0,3,1,laboratory technician,1,single,4721.0,3119,2,1.0,13,,3,0,20.0,3,3.0,18,2,17,1
42,53.0,0,,1376.0,,2,2,medical,981.0,3,male,,3,4,manager,3,divorced,,13938,6,0.0,13,3.0,3,1,22.0,3,4.0,17,15,2,0
43,36.0,1,travel rarely,885.0,,16,4,,1042.0,3,female,43.0,4,1,laboratory technician,1,single,,8269,1,,16,3.0,3,0,18.0,1,3.0,17,15,14,1
44,46.0,0,,1003.0,,8,4,life sciences,1080.0,4,female,74.0,2,2,research scientist,1,divorced,4615.0,21029,8,1.0,23,4.0,1,3,,2,3.0,16,1,7,0
45,38.0,0,travel rarely,1321.0,,1,4,,1995.0,4,male,86.0,3,2,sales executive,2,married,,7636,0,0.0,15,3.0,1,2,16.0,3,,15,5,8,1
46,51.0,0,,,,1,4,,145.0,1,female,30.0,2,3,healthcare representative,1,single,,25796,3,,20,4.0,3,0,23.0,1,2.0,13,12,8,0
47,43.0,0,,394.0,,26,2,,158.0,3,male,92.0,3,4,manager,4,married,16959.0,19494,1,1.0,12,3.0,4,2,25.0,3,4.0,25,4,12,1
48,37.0,0,,1372.0,,1,3,life sciences,391.0,4,female,42.0,3,1,research scientist,4,single,,15881,1,0.0,12,3.0,2,0,,3,3.0,17,5,7,1
49,32.0,0,travel rarely,,,8,2,technical degree,436.0,3,female,65.0,2,2,sales executive,2,married,,24624,1,1.0,11,3.0,4,0,,2,3.0,13,11,9,0
50,38.0,0,,1333.0,,1,3,,,4,female,80.0,3,3,research director,1,married,,16292,1,,13,3.0,2,1,15.0,3,3.0,15,5,11,0
51,46.0,0,,228.0,,3,3,life sciences,1527.0,3,female,51.0,3,4,manager,2,,,11380,8,0.0,12,3.0,4,1,23.0,2,4.0,13,5,1,1
52,35.0,1,travel rarely,737.0,,10,3,medical,,4,male,55.0,2,3,sales executive,1,married,10306.0,21530,9,,17,3.0,3,0,15.0,3,,13,6,0,0
53,43.0,0,,823.0,,6,3,medical,1866.0,1,female,81.0,2,5,manager,3,married,,22539,7,0.0,13,3.0,4,0,21.0,2,3.0,16,6,14,1
54,56.0,0,non-travel,667.0,,1,4,life sciences,2026.0,3,male,57.0,3,2,healthcare representative,3,divorced,,26236,1,0.0,21,,1,1,,2,2.0,13,1,9,1
55,36.0,0,non-travel,301.0,,15,4,marketing,,4,male,88.0,1,2,sales executive,4,divorced,5406.0,10436,1,0.0,24,4.0,1,1,,4,2.0,15,11,11,1
56,38.0,0,,573.0,,6,3,medical,107.0,2,female,79.0,1,2,research scientist,4,,,15717,7,,12,3.0,4,3,17.0,3,3.0,13,1,9,1
57,49.0,0,,,,26,4,medical,170.0,3,female,96.0,3,2,manufacturing director,1,,,5549,1,0.0,14,3.0,3,0,16.0,2,2.0,15,5,11,0
58,39.0,0,travel rarely,1329.0,,4,4,life sciences,,4,female,47.0,2,2,sales executive,3,married,5902.0,14590,4,,14,3.0,3,1,17.0,1,4.0,15,5,9,1
59,40.0,0,,630.0,,4,4,,215.0,3,male,67.0,2,3,sales executive,4,married,10855.0,8552,7,0.0,11,,1,1,15.0,2,2.0,12,2,11,1
60,36.0,0,,,,5,2,,304.0,4,male,62.0,3,2,laboratory technician,2,single,5914.0,9945,8,0.0,16,3.0,4,0,16.0,3,4.0,13,3,7,1
61,37.0,0,,1063.0,,25,5,,529.0,2,female,72.0,3,2,research scientist,3,married,,23866,3,1.0,15,3.0,1,2,15.0,2,3.0,13,10,7,0
62,35.0,0,,1017.0,,6,4,,691.0,2,male,82.0,1,2,research scientist,4,,6646.0,19368,1,,13,3.0,2,0,,3,3.0,17,11,8,1
63,33.0,0,travel frequently,1296.0,,6,3,life sciences,692.0,3,male,,3,2,healthcare representative,4,divorced,,5335,3,0.0,23,4.0,3,1,15.0,2,1.0,13,4,7,0
64,50.0,0,travel rarely,939.0,research & development,24,3,,1005.0,4,male,,3,4,manufacturing director,3,married,13973.0,4161,3,1.0,18,3.0,4,1,22.0,2,3.0,12,1,5,0
65,48.0,0,travel rarely,1355.0,,4,4,,1024.0,3,male,78.0,2,3,healthcare representative,3,single,,22245,7,,14,,2,0,27.0,3,3.0,15,4,8,1
66,44.0,0,travel rarely,1448.0,sales,28,3,,1039.0,4,female,53.0,4,4,sales executive,4,married,13320.0,11737,3,,18,3.0,3,1,,2,3.0,12,11,11,1
67,44.0,0,travel rarely,200.0,,29,4,,1225.0,4,male,32.0,3,2,research scientist,4,single,,7744,1,,25,4.0,2,0,,3,3.0,20,13,17,1
68,40.0,0,,1202.0,,25,1,,1375.0,2,female,89.0,4,2,healthcare representative,3,,,13888,5,0.0,20,4.0,2,3,15.0,0,3.0,12,11,8,0
69,34.0,0,travel rarely,404.0,,2,4,,,3,female,98.0,3,2,healthcare representative,4,single,6687.0,6163,1,,11,3.0,4,0,14.0,2,4.0,14,4,11,0
70,35.0,0,non-travel,208.0,research & development,8,4,,,3,female,52.0,3,2,healthcare representative,3,,,12250,1,,12,3.0,4,1,,5,3.0,14,2,9,0
71,50.0,0,,813.0,,17,5,life sciences,,4,female,50.0,2,3,research director,1,,,21981,5,0.0,15,3.0,3,3,,3,3.0,14,1,11,0
72,49.0,0,,465.0,,6,1,life sciences,1661.0,3,female,41.0,2,4,healthcare representative,3,,,11652,2,,19,3.0,2,1,,3,3.0,15,2,12,1
73,38.0,0,travel frequently,1189.0,,1,3,life sciences,1668.0,4,male,90.0,3,2,research scientist,4,,4735.0,9867,7,0.0,15,3.0,4,2,19.0,4,,13,2,9,0
74,33.0,0,,,,21,3,,1698.0,2,male,79.0,4,1,laboratory technician,2,,,13637,1,0.0,18,3.0,4,3,14.0,6,,14,2,13,0
75,47.0,0,travel rarely,1001.0,,4,3,life sciences,,3,female,92.0,2,3,manufacturing director,2,divorced,,19271,8,1.0,12,,3,1,,4,3.0,22,14,10,1
76,38.0,0,,1394.0,research & development,8,3,,1937.0,4,female,58.0,2,2,research scientist,2,divorced,,18115,1,,16,3.0,3,1,20.0,3,3.0,20,0,7,0
77,37.0,0,travel rarely,161.0,,10,3,life sciences,2017.0,3,female,42.0,4,3,research director,4,,,15471,1,1.0,25,4.0,1,1,16.0,2,3.0,16,6,8,1
78,30.0,0,,288.0,,2,3,,117.0,3,male,99.0,2,2,healthcare representative,4,married,,15830,1,0.0,19,,1,3,11.0,3,3.0,11,10,8,1
79,58.0,0,travel rarely,682.0,,18,4,,131.0,4,male,37.0,3,4,sales executive,3,single,13872.0,24409,0,,13,3.0,3,0,38.0,1,2.0,37,1,8,1
80,34.0,0,travel rarely,1354.0,,5,3,,153.0,3,female,45.0,2,3,manager,1,single,,5615,2,,12,3.0,4,0,14.0,6,3.0,11,5,8,0
81,58.0,1,travel rarely,147.0,,23,4,medical,,4,female,94.0,3,3,healthcare representative,4,married,,3465,1,,12,3.0,4,1,40.0,3,2.0,40,15,6,1
82,38.0,0,,119.0,,3,3,life sciences,307.0,1,male,76.0,3,3,sales executive,3,divorced,,9647,0,,12,3.0,3,2,,6,2.0,16,5,13,1
83,29.0,0,travel frequently,1413.0,,1,1,,,2,female,42.0,3,3,sales executive,4,married,,6599,1,,14,3.0,4,1,11.0,5,3.0,11,4,1,0
84,55.0,0,travel rarely,452.0,,1,3,medical,374.0,4,male,81.0,3,5,manager,1,single,19045.0,18938,0,,14,3.0,3,0,37.0,2,3.0,36,4,13,1
85,41.0,0,,334.0,,10,4,,,4,male,88.0,3,4,manager,2,,16015.0,15896,1,,19,3.0,2,0,,2,3.0,22,0,4,1
86,39.0,0,travel rarely,1132.0,research & development,1,3,,,3,male,48.0,4,3,healthcare representative,4,,9613.0,10942,0,0.0,17,,1,3,19.0,5,2.0,18,3,7,0
87,38.0,0,,,,15,2,life sciences,,3,male,92.0,2,3,research director,4,,11510.0,15682,0,,14,3.0,2,1,,3,3.0,11,2,9,1
88,43.0,0,,982.0,,12,3,,,1,male,59.0,2,4,research director,2,,,4345,1,0.0,11,3.0,3,1,,3,,25,3,9,0
89,31.0,0,,480.0,,30,2,,524.0,2,female,31.0,3,2,manufacturing director,1,married,4306.0,4156,1,0.0,12,3.0,2,1,13.0,5,1.0,13,3,12,1
90,50.0,0,travel rarely,1099.0,research & development,27,4,life sciences,569.0,2,male,88.0,2,4,manager,3,married,17046.0,9314,0,0.0,15,3.0,2,1,28.0,2,3.0,27,15,7,0
91,35.0,0,,672.0,,25,3,technical degree,899.0,4,male,78.0,2,3,manufacturing director,2,married,,9129,3,0.0,16,,1,0,,2,3.0,13,4,8,0
92,47.0,0,,1379.0,,16,4,,,3,male,64.0,4,2,manufacturing director,3,,5067.0,6759,1,1.0,19,3.0,3,0,20.0,3,,19,2,7,1
93,35.0,0,,583.0,research & development,25,4,,1014.0,3,female,57.0,3,3,healthcare representative,3,divorced,,6975,1,1.0,11,,3,1,,3,2.0,16,10,1,1
94,40.0,0,travel rarely,1492.0,,20,4,,,1,male,61.0,3,3,healthcare representative,4,married,,26542,4,,20,4.0,4,1,14.0,6,3.0,11,11,1,1
95,45.0,0,,1050.0,sales,9,4,life sciences,1117.0,2,female,65.0,2,2,sales executive,3,married,,17970,1,,13,3.0,4,1,15.0,2,3.0,15,4,12,0
96,33.0,0,,117.0,research & development,9,3,medical,1238.0,1,male,60.0,3,1,research scientist,4,married,,6311,0,,13,3.0,2,1,15.0,5,3.0,14,4,10,0
97,36.0,0,travel frequently,469.0,,3,3,,,3,male,46.0,3,1,research scientist,2,married,3692.0,9256,1,0.0,12,3.0,3,0,12.0,2,2.0,11,0,7,0
98,45.0,1,,,,13,3,marketing,1277.0,1,female,94.0,1,5,manager,2,,,2493,2,1.0,16,3.0,1,0,26.0,2,3.0,24,1,11,0
99,51.0,0,travel frequently,237.0,,27,3,,,2,male,83.0,3,5,manager,2,,19847.0,19196,4,1.0,24,,1,1,,5,2.0,29,11,10,0
100,34.0,0,travel rarely,1440.0,,7,2,technical degree,1541.0,2,male,55.0,3,1,sales representative,3,,2308.0,4944,0,1.0,25,4.0,2,1,12.0,4,3.0,11,5,7,0
