,AGE,ATTRITION,BUSINESSTRAVEL,DEPARTMENT,DISTANCEFROMHOME,EDUCATION,EDUCATIONFIELD,EMPLOYEENUMBER,ENVIRONMENTSATISFACTION,GENDER,HOURLYRATE,JOBINVOLVEMENT,JOBLEVEL,JOBROLE,JOBSATISFACTION,MARITALSTATUS,MONTHLYINCOME,MONTHLYRATE,NUMCOMPANIESWORKED,OVERTIME,PERCENTSALARYHIKE,RELATIONSHIPSATISFACTION,STOCKOPTIONLEVEL,TRAININGTIMESLASTYEAR,WORKLIFEBALANCE,YEARSATCOMPANY,YEARSSINCELASTPROMOTION,YEARSWITHCURRMANAGER,REMOTEWORK,DAILYRATE,PERFORMANCERATING,TOTALWORKINGYEARS
0,51.0,no,Unknown,Unknown,6,3,Unknown,162.0,1,male,51.0,3,5,research director,3,Unknown,19537.0,6462,7,0.0,13,3,0,5,3.0,20,15,15,1,684.0,3.0,11.223167006209307
1,52.0,no,Unknown,Unknown,1,4,life sciences,259.0,3,male,65.0,2,5,manager,3,Unknown,19999.0,5678,0,,14,1,1,5,3.0,33,11,9,1,699.0,3.0,34.0
2,42.0,no,travel rarely,research & development,4,2,technical degree,319.0,3,male,58.0,3,5,manager,4,married,19232.0,4933,1,0.0,11,4,0,3,3.0,22,11,15,1,532.0,3.0,22.0
3,47.0,no,travel rarely,Unknown,2,4,medical,Unknown,1,female,82.0,3,4,research director,3,married,17169.0,26703,3,,19,2,2,2,3.0,20,5,6,0,359.0,3.0,10.971827677032172
4,46.0,no,Unknown,Unknown,3,3,technical degree,Unknown,1,female,45.0,4,4,sales executive,1,divorced,,7739,2,0.0,12,4,1,5,3.0,19,2,8,0,1319.0,3.0,11.714245387832328
5,48.0,no,Unknown,research & development,22,3,medical,1900.0,4,female,58.0,3,4,manager,4,Unknown,17174.0,2437,3,0.0,11,2,1,3,3.0,22,4,7,1,117.0,3.0,10.784676545767965
6,59.0,no,Unknown,Unknown,25,3,life sciences,81.0,1,female,99.0,3,3,sales executive,1,Unknown,,2354,7,,11,4,0,3,2.0,21,7,9,0,1435.0,3.0,28.0
7,42.0,no,travel rarely,Unknown,1,1,Unknown,387.0,2,male,99.0,3,2,sales executive,3,married,,24532,1,0.0,25,3,0,3,3.0,20,11,6,0,635.0,4.0,20.0
8,41.0,no,Unknown,Unknown,2,5,Unknown,Unknown,2,female,91.0,3,4,manager,1,married,16595.0,5626,7,0.0,16,2,1,2,3.0,18,11,8,0,1276.0,3.0,22.0
9,41.0,no,travel frequently,Unknown,9,3,Unknown,999.0,1,male,64.0,3,5,research director,3,Unknown,,3735,2,0.0,17,2,1,2,4.0,18,0,11,0,840.0,3.0,21.0
10,41.0,no,non-travel,Unknown,7,1,Unknown,1035.0,2,female,55.0,1,5,research director,3,Unknown,19973.0,20284,1,0.0,22,2,2,3,3.0,21,5,10,0,247.0,4.0,10.885211237971312
11,56.0,no,travel rarely,Unknown,23,3,life sciences,Unknown,4,male,68.0,3,4,manufacturing director,2,married,13402.0,18235,4,1.0,12,1,1,0,3.0,19,15,9,0,1369.0,3.1417092753988114,33.0
12,38.0,no,Unknown,Unknown,10,3,medical,Unknown,2,female,99.0,1,3,research director,3,married,13206.0,3376,3,0.0,12,1,1,3,3.0,18,1,11,1,201.0,3.0,10.849638095462979
13,41.0,yes,travel rarely,Unknown,12,3,Unknown,58.0,2,female,49.0,3,5,research director,3,married,19545.0,16280,1,0.0,12,4,0,0,3.0,22,15,8,0,1360.0,3.0,11.745952810897752
14,55.0,no,Unknown,Unknown,14,4,medical,Unknown,3,male,61.0,4,5,research director,2,single,,13339,8,0.0,11,4,0,3,3.0,24,2,15,0,692.0,3.0,11.229353820465976
15,40.0,no,travel rarely,Unknown,2,4,Unknown,558.0,3,female,79.0,3,5,manager,3,Unknown,18041.0,13022,0,0.0,14,4,0,2,3.0,20,1,12,0,1398.0,3.0,11.775340178616924
16,58.0,yes,travel rarely,Unknown,2,4,Unknown,825.0,4,male,31.0,3,5,research director,2,single,19246.0,25761,7,1.0,12,4,0,2,3.0,31,13,8,0,286.0,3.0,40.0
17,46.0,no,travel rarely,Unknown,2,3,Unknown,Unknown,3,female,69.0,3,4,manager,1,Unknown,,24097,8,,23,1,0,2,3.0,26,15,9,0,1402.0,4.0,28.0
18,35.0,no,Unknown,Unknown,-13,5,life sciences,Unknown,2,male,48.0,4,2,research scientist,1,married,,26312,1,,11,4,0,2,3.0,16,1,10,0,819.0,3.0,11.327569496790579
19,40.0,no,travel rarely,Unknown,15,3,life sciences,Unknown,1,female,80.0,2,3,manufacturing director,3,Unknown,,25800,1,,13,4,2,2,3.0,18,14,12,0,884.0,3.0,18.0
20,45.0,no,non-travel,research & development,1,1,Unknown,1712.0,3,male,74.0,2,3,healthcare representative,3,Unknown,10748.0,3395,3,,23,4,1,3,2.0,23,14,4,0,1238.0,4.0,25.0
21,33.0,no,Unknown,Unknown,1,2,life sciences,73.0,1,female,98.0,3,3,research director,4,single,,15146,1,1.0,12,3,0,1,3.0,15,8,12,0,515.0,3.0,15.0
22,36.0,no,Unknown,Unknown,8,3,Unknown,Unknown,3,female,59.0,3,3,healthcare representative,3,divorced,,8202,1,,13,2,3,2,3.0,17,12,8,1,1223.0,3.14551978101612,17.0
23,47.0,no,Unknown,Unknown,2,2,other,820.0,3,female,33.0,3,4,manager,4,married,16752.0,12982,1,,11,3,1,3,2.0,26,3,0,0,202.0,3.0,10.850411447245062
24,36.0,no,travel rarely,Unknown,-42,2,life sciences,Unknown,42,male,56.0,3,2,sales executive,4,Unknown,6201.0,2823,1,,14,4,1,1,3.0,18,4,11,0,928.0,3.0,18.0
25,35.0,no,Unknown,Unknown,9,3,life sciences,Unknown,4,female,66.0,2,3,manufacturing director,3,married,,23457,1,1.0,20,2,1,2,3.0,17,5,15,0,607.0,4.0,17.0
26,52.0,yes,Unknown,Unknown,2,1,Unknown,Unknown,1,female,57.0,1,5,manager,4,married,19845.0,25846,1,0.0,15,4,1,3,3.0,32,6,9,1,266.0,3.0,33.0
27,36.0,no,Unknown,Unknown,2,4,life sciences,1294.0,3,female,53.0,3,2,manufacturing director,2,single,,2323,9,1.0,11,4,0,2,3.0,16,5,12,0,429.0,3.0,18.0
